[ 0.02450544 -0.54707168], [0], 0.0, [0.05194648 1.11119741], False, False;
[0.05194648 1.11119741], [2], 0.0, [ 0.10410441 -0.03672818], False, False;
[ 0.10410441 -0.03672818], [1], 0.0, [0.12510774 0.46853953], False, False;
[0.12510774 0.46853953], [2], 0.0, [ 0.09078406 -1.17657984], False, False;
[ 0.09078406 -1.17657984], [0], 0.0, [0.08705619 1.10007709], False, False;
[0.08705619 1.10007709], [2], 0.0, [0.14078956 0.00744127], False, False;
[0.14078956 0.00744127], [2], 0.0, [ 0.0853394  -1.15044973], False, False;
[ 0.0853394  -1.15044973], [0], 0.0, [0.07810801 1.00199922], False, False;
[0.07810801 1.00199922], [2], 0.0, [ 0.12336366 -0.06944529], False, False;
[ 0.12336366 -0.06944529], [1], 0.0, [0.13646381 0.33880111], False, False;
[0.13646381 0.33880111], [2], 0.0, [ 0.10151437 -1.0596278 ], False, False;
[ 0.10151437 -1.0596278 ], [1], 0.0, [-0.01036258 -1.24189281], False, False;
[-0.01036258 -1.24189281], [0], 0.0, [-0.0680603   0.05398127], False, False;
[-0.0680603   0.05398127], [1], 0.0, [-0.06060863  0.09933507], False, False;
[-0.06060863  0.09933507], [0], 0.0, [0.02086321 1.57748589], False, False;
[0.02086321 1.57748589], [2], 0.0, [0.11045892 0.26797146], False, False;
[0.11045892 0.26797146], [1], 0.0, [0.16810682 0.91671408], False, False;
[0.16810682 0.91671408], [2], 0.0, [ 0.20317596 -0.19291614], False, False;
[ 0.20317596 -0.19291614], [2], 0.0, [ 0.13900842 -1.13047164], False, False;
[ 0.13900842 -1.13047164], [0], 0.0, [0.14723964 1.29907656], False, False;
[0.14723964 1.29907656], [2], 0.0, [0.22248806 0.25359487], False, False;
[0.22248806 0.25359487], [2], 0.0, [ 0.21463769 -0.41550285], False, False;
[ 0.21463769 -0.41550285], [0], 0.0, [0.28152402 1.78224628], False, False;
[0.28152402 1.78224628], [2], 0.0, [0.43038521 1.290515  ], False, False;
[0.43038521 1.290515  ], [2], 0.0, [0.55801598 1.34058584], False, False;
[0.55801598 1.34058584], [2], 0.0, [0.71906156 1.96956492], False, False;
[0.71906156 1.96956492], [1], 0.0, [1.01907332 4.10881596], False, False;
[1.01907332 4.10881596], [1], 0.0, [1.56400507 6.85240313], False, False;
[1.56400507 6.85240313], [1], -1.0, [2.40126514 9.89737413], True, True;
[-0.10923862  0.        ], [1], 0.0, [-0.13716963 -0.57414629], False, False;
[-0.13716963 -0.57414629], [0], 0.0, [-0.12997371  0.72258071], False, False;
[-0.12997371  0.72258071], [0], 0.0, [0.0031455  2.01877989], False, False;
[0.0031455  2.01877989], [2], 0.0, [0.13383865 0.6730533 ], False, False;
[0.13383865 0.6730533 ], [2], 0.0, [ 0.15049688 -0.32958511], False, False;
[ 0.15049688 -0.32958511], [1], 0.0, [0.15276048 0.37609634], False, False;
[0.15276048 0.37609634], [2], 0.0, [ 0.12306584 -0.98875587], False, False;
[ 0.12306584 -0.98875587], [0], 0.0, [0.12714158 1.07233566], False, False;
[0.12714158 1.07233566], [2], 0.0, [0.19076294 0.23922215], False, False;
[0.19076294 0.23922215], [2], 0.0, [ 0.16584804 -0.75322541], False, False;
[ 0.16584804 -0.75322541], [1], 0.0, [ 0.12261186 -0.13533935], False, False;
[ 0.12261186 -0.13533935], [1], 0.0, [0.1219466  0.12165699], False, False;
[0.1219466  0.12165699], [2], 0.0, [ 0.07092911 -1.1731975 ], False, False;
[ 0.07092911 -1.1731975 ], [0], 0.0, [0.0647669  1.04665181], False, False;
[0.0647669  1.04665181], [2], 0.0, [ 0.11075751 -0.09906441], False, False;
[ 0.11075751 -0.09906441], [1], 0.0, [ 0.10390832 -0.0418476 ], False, False;
[ 0.10390832 -0.0418476 ], [2], 0.0, [ 0.03286123 -1.42180965], False, False;
[ 0.03286123 -1.42180965], [0], 0.0, [-0.02049278  0.32420438], False, False;
[-0.02049278  0.32420438], [1], 0.0, [0.01804312 0.4685853 ], False, False;
[0.01804312 0.4685853 ], [2], 0.0, [-0.02880068 -1.43230494], False, False;
[-0.02880068 -1.43230494], [0], 0.0, [-0.08454064  0.28387048], False, False;
[-0.08454064  0.28387048], [0], 0.0, [0.02082988 1.88537332], False, False;
[0.02082988 1.88537332], [2], 0.0, [0.1457859  0.68862948], False, False;
[0.1457859  0.68862948], [2], 0.0, [ 0.15915277 -0.41291681], False, False;
[ 0.15915277 -0.41291681], [1], 0.0, [0.15516795 0.33104859], False, False;
[0.15516795 0.33104859], [2], 0.0, [ 0.1421469  -0.59951084], False, False;
[ 0.1421469  -0.59951084], [1], 0.0, [ 0.08972462 -0.47885816], False, False;
[ 0.08972462 -0.47885816], [1], 0.0, [ 0.04901307 -0.35862554], False, False;
[ 0.04901307 -0.35862554], [0], 0.0, [0.10818934 1.5737165 ], False, False;
[0.10818934 1.5737165 ], [2], 0.0, [0.21335608 0.59485231], False, False;
[0.21335608 0.59485231], [2], 0.0, [ 0.2280207  -0.29219191], False, False;
[ 0.2280207  -0.29219191], [2], 0.0, [ 0.13574019 -1.61311001], False, False;
[ 0.13574019 -1.61311001], [0], 0.0, [0.09152577 0.70649571], False, False;
